smile,index
CC(C)C[N@@](C[C@H]([C@H](Cc1ccccc1)NC(=O)O[C@H]2CO[C@@H]3[C@H]2CCO3)O)S(=O)(=O)c4ccc(cc4)N,0
CC(C)C[N@@](C[C@H]([C@H](Cc1ccccc1)NC(=O)O[C@H]2CO[C@@H]3[C@H]2CCO3)O)S(=O)(=O)c4ccc5c(c4)OCO5,1
CC(C)(C)OC(=O)N[C@H](CCN[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](Cc2ccccc2)C(=O)N)Cc3ccccc3,2
CCCCCCCCCCCCCCCC(=O)NCC(=O)O,3
c1ccc(cc1)C[C@@H]2[C@@H]([C@H]([C@H](N(C(=O)N2Cc3cccc(c3)C(=O)Nc4[nH]c5ccccc5n4)Cc6cccc(c6)C(=O)Nc7[nH]c8ccccc8n7)Cc9ccccc9)O)O,4
CC1(N=C(N=C(N1c2ccc(cc2)Cl)N)N)C,5
Cc1c(cccc1O)C(=O)N[C@@H](CSc2ccccc2)[C@@H](C[N@@]3C[C@H]4CCCC[C@H]4C[C@H]3C(=O)NC(C)(C)C)O,6
c1cc(c(c(c1)Cl)CC(=O)O)Cl,7
c1cc(c(cc1Cl)OCC(=O)O)C(=O)NCc2ccc(cc2F)Br,8
c1cc(cc(c1)[N+](=O)[O-])CNC(=O)c2ccc(cc2OCC(=O)O)Cl,9
C([C@H](C(=O)O)O)OP(=O)(O)O,10
CC(C)C[N@](C[C@H]([C@H](Cc1ccccc1)NC(=O)O[C@H]2CCOC2)O)S(=O)(=O)c3ccc(cc3)N,11
c1cc2c(cc1Cl)nc(s2)CN3C(=O)C=CN(C3=O)CC(=O)O,12
CC(C)(CO[P@](=O)(O)O[P@@](=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)n2cnc3c2ncnc3N)O)OP(=O)(O)O)[C@H](C(=O)NCCC(=O)NCCSCc4ccc(cc4)O)O,13
CC1=N[C@@H](CCN1)C(=O)O,14
c1nc2c(n1[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)O)O)O)N=C(NC2=O)N,15
c1ccc(cc1)c2cc(c(c(c2)Cl)O)C(=O)O,16
CC1=N[C@@H]([C@H](CN1)O)C(=O)O,17
CNC(=O)c1c2cc(c(cc2oc1c3ccc(cc3)F)N(CCO)S(=O)(=O)C)C4CC4,18
c1cc2cccc3c2c(c1)C(=O)OC3(c4ccc(c(c4)Cl)O)c5ccc(c(c5)Cl)O,19
c1nc(c2c(n1)n(cn2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)O)OP(=O)(O)O)O)N,20
Cc1cccc(c1OCC(=O)N[C@@H](Cc2ccccc2)[C@H](C[C@H](Cc3ccccc3)NC(=O)[C@H](C(C)C)N4CCCNC4=O)O)C,21
[B-](CCCC[C@@H](C(=O)O)N)(O)(O)O,22
CC(=O)OCC[N+](C)(C)C,23
CC(=O)SCCNC(=O)CCNC(=O)[C@@H](C(C)(C)CO[P@](=O)(O)O[P@@](=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)n2cnc3c2ncnc3N)O)OP(=O)(O)O)O,24
c1nc(c2c(n1)n(cn2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO[P@](=O)(O)OP(=O)(O)O)O)O)N,25
c1nc(c2c(n1)n(cn2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OP(=O)(O)OP(=S)(O)O)O)O)N,26
CC(C)[C@@H](C(=O)N[C@@H](Cc1ccccc1)[C@@H]([C@H]([C@H](CC2CCCCC2)NC(=O)[C@H](C(C)C)NC(=O)N(C)Cc3ccccn3)O)O)NC(=O)N(C)Cc4ccccn4,27
c1cc2cccc3c2c(c1)C(=O)N(C3=O)CC(=O)O,28
CN(C)C1=N[C@@H]2[C@H]([C@@H]([C@H]([C@@H]2O1)CO)O)O,29
c1nc(c2c(n1)n(cn2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)O)O)O)N,30
Cc1c(c(no1)O)C[C@@H](C(=O)O)N,31
c1nc2c(n1[C@H]3[C@@H]([C@@H]([C@H](O3)CO[P@](=O)(O)O[P@](=O)(O)OC[C@@H]4[C@H]([C@H]([C@@H](O4)O)O)O)O)OP(=O)(O)O)[NH2+]CNC2N,32
C(C[C@@H](C(=O)O)N)CNC(=[NH2+])N,33
CC(=O)SCC[N+](C)(C)C,34
c1nc(c2c(n1)n(cn2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO[P@@](=O)(O)O[P@](=O)(O)OP(=O)(O)O)O)O)N,35
CCN(CC)CCNC(=O)c1c(c([nH]c1C)/C=C2/c3cc(ccc3NC2=O)F)C,36
C[C@H]1C[C@@H]([C@@H]([C@H](C=C([C@@H]([C@H](C=CC=C(C(=O)NC2=CC(=O)C=C([C@@H]1OC)C2=O)C)C)OC(=O)N)/C)C)OC)OC,37
CCCC(=O)SCC[N+](C)(C)C,38
CCCCCCCCO[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O,39
C1[C@H]2[C@@H]([C@@H](S1)CCCCC(=O)O)NC(=O)N2,40
C[N@@]1[C@H](CNC2=C1C(=O)NC(=N2)N)CNc3ccc(cc3)C(=O)N[C@@H](CCC(=O)O)C(=O)O,41
c1c(cc(c(c1C(=O)O)O)Cl)Cl,42
CC(=O)CCC[N+](C)(C)C,43
C[N+](C)(C)CCO,44
c1ccc(cc1)C(c2ccccc2)(c3ccccc3Cl)n4ccnc4,45
CC(C)(CO[P@](=O)(O)O[P@@](=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)n2cnc3c2ncnc3N)O)OP(=O)(O)O)[C@H](C(=O)NCCC(=O)NCCS)O,46
C[N@]1[C@H]2CC[C@@H]1[C@H]([C@H](C2)OC(=O)c3ccccc3)C(=O)OC,47
CC(C)CC(=O)C(=O)O,48
CCc1c(c(nc(n1)N)N)c2ccc(cc2)Cl,49
C1CC2=C(C1)N(C(=O)NC2=O)C[C@@H](C(=O)O)N,50
C1[C@@H]([C@H](O[C@H]1N2C=CC(=NC2=O)N)COP(=O)(O)O)O,51
C(CC(=O)N)[C@H](C(=O)O)N,52
COc1ccc(cc1Cc2cnc(nc2N)N)OCCCCC(=O)O,53
c1cc(c(cc1C(=O)O)O)O,54
C[C@]12CCC(=O)C[C@@H]1CC[C@@H]3[C@@H]2CC[C@]4([C@H]3CC[C@@H]4O)C,55
c1cc(c[n+](c1)[C@H]2[C@@H]([C@H](C(O2)CO[P@](=O)(O)O[P@@](=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)n4cnc5c4ncnc5N)O)O)O)O)C(=O)O,56
C(C[C@@H](C(=O)N[C@@H](CCN)C(=O)N)N)CNC(=N)N[N+](=O)[O-],57
C1[C@H](CN[C@@H]1C(=O)N)NC(=O)[C@H](CCCNC(=N)N[N+](=O)[O-])N,58
CC(C)(C)[C@@H](C(=O)N[C@@H](Cc1ccccc1)[C@H](CN(Cc2ccc(cc2)c3ccccn3)NC(=O)[C@H](C(C)(C)C)NC(=O)OC)O)NC(=O)OC,59
C[C@]12CCc3c4ccc(cc4ccc3[C@@H]1CCC2=O)O,60
C[C@]12CC[C@@H]3c4ccc(cc4CC[C@H]3[C@@H]1CC[C@@H]2O)O,61
c1cc2c(cc1S(=O)(=O)N3CCSCC3)CN[C@H](C2)CF,62
C([C@@H]1[C@H]([C@@H]([C@](O1)(CO)O)O)O)OP(=O)(O)O,63
c1cc(ccc1NS(=O)(=O)c2ccc3c(c2)CN[C@H](C3)CO)Cl,64
c1cc2c(cc1F)[C@@]3(C[C@H](O2)C(=O)N)C(=O)NC(=O)N3,65
Cc1cc2c(cc1C)N(C3=NC(=O)NC(=O)C3=N2)C[C@@H]([C@@H]([C@@H](COP(=O)(O)O)O)O)O,66
c1cc2c(cc1S(=O)(=O)NCCC(F)(F)F)CN[C@H](C2)CF,67
CCC(CC)O[C@@H]1C=C(C[C@@H]([C@H]1NC(=O)C)N)C(=O)O,68
c1ccc(cc1)CN([C@H]2CNC[C@@H]2N(Cc3ccccc3)S(=O)(=O)c4ccc(cc4)N)S(=O)(=O)c5ccc(cc5)N,69
c1ccc(cc1)CN([C@H]2CNC[C@@H]2N(Cc3ccccc3)S(=O)(=O)c4ccc(cc4)C(=O)N)S(=O)(=O)c5ccc(cc5)C(=O)N,70
C([C@@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)O)O)O)O)O,71
c1nc2c(n1[C@H]3[C@@H]([C@@H]([C@H](O3)CO[P@](=O)(O)O[P@](=O)(O)O[C@@H]4[C@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O)O)N=C(NC2=O)N,72
C[C@H]1C[C@@H]([C@@H]([C@H](C=C([C@@H]([C@H](C=C/C=C(/C(=O)NC2=CC(=O)C(=C(C1)C2=O)OC)C)OC)OC(=O)N)/C)C)O)OC,73
c1nc2c(n1[C@H]3[C@@H]([C@@H]([C@H](O3)CO[P@](=O)(O)OP(=O)(O)O)O)O)N=C(NC2=O)N,74
c1ccc(cc1)[C@@H]2C[C@H]2N,75
C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O)O)O)O)O,76
C[N@@]1CC[C@@]23C=C[C@@H](C[C@@H]2Oc4c3c(ccc4OC)C1)O,77
C(C(=O)O)[NH2+]CP(=O)(O)O,78
C(CC(=O)N[C@@H](CS)C(=O)NCC(=O)O)[C@@H](C(=O)O)N,79
CCCCCCSC[C@@H](C(=O)NCC(=O)O)NC(=O)CC[C@@H](C(=O)O)[NH3+],80
c1cc2c(cc1[N+](=O)[O-])CN[C@H](C2)CO,81
[C@H]1([C@@H]([C@H]([C@@H]([C@H]([C@@H]1OP(=O)(O)O)O)OP(=O)(O)O)OP(=O)(O)O)O)O,82
c1cc2c(cc1I)CNCC2,83
C1(C(C(C(C(C1OP(=O)(O)O)OP(=O)(O)O)OP(=O)(O)O)OP(=O)(O)O)OP(=O)(O)O)OP(=O)(O)O,84
COc1cc2c(cc1OCCCN3CCOCC3)/C(=N/c4ccc(c(c4)Cl)F)/N=CN2,85
c1ccc(cc1)C[C@@H](C(=O)O)NC(=O)CCC([C@H](Cc2ccccc2)NC(=O)c3ccccc3)(O)O,86
CC(=C)[C@H]1CN[C@@H]([C@H]1CC(=O)O)C(=O)O,87
c1ccc(cc1)C[C@@H](C(CCC(=O)N[C@@H](Cc2c[nH]c3c2cccc3)C(=O)O)(O)O)NC(=O)c4ccccc4,88
c1ccc(cc1)C[C@@H]([C@H](C(=O)O)O)NC(=O)OCc2ccccc2,89
c1cc(c(cc1F)OCC(=O)O)C(=S)NCc2ccc(cc2F)Br,90
Cc1cc2c(cc1C)N(C3=NC(=O)NC(=O)C3=N2)C,91
c1ccc2c(c1)cccc2CC(=O)OCCN,92
Cc1cc2c(cc1C)nc3c(n2)C(=O)NC(=O)N3,93
c1cc(c(c2c1CCCNC2)Cl)Cl,94
C(CC[NH3+])C[C@@H](C(=O)O)N,95
C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@@H]2[C@H](O[C@@H]([C@@H]([C@H]2O)O)O)CO)O)O)O)O,96
C([C@@H]1[C@H]([C@@H]([C@@H]([C@H](O1)O)O)O)O)O,97
C[C@H]1[C@H]([C@H]([C@@H]([C@@H](O1)OC)O)O)O,98
CN1CN(C2=C1C(=O)NC(=N2)N)[C@H]3[C@@H]([C@@H]([C@H](O3)CO[P@](=O)(O)O[P@](=O)(O)OP(=O)(O)O)O)O,99
Cc1nccn1CCCCc2ccc(cc2)CC(=O)N[C@@H](CO)C(=O)N[C@@H](CCCCN)C(=O)NCCC3CCCCC3,100
CC(C)(C)NC(=O)[C@@H]1C[N@@](CC[N@]1C[C@H](C[C@@H](Cc2ccccc2)C(=O)N[C@H]3c4ccccc4C[C@H]3O)O)Cc5cccnc5,101
CO[C@@H]1[C@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O,102
c1cc2c(ccc3c2c(c1)C(=O)OC3(c4ccc(cc4)O)c5ccc(cc5)O)[N+](=O)[O-],103
CN(Cc1cnc2c(n1)c(nc(n2)N)N)c3ccc(cc3)C(=O)N[C@@H](CCC(=O)O)C(=O)O,104
CC(C)[C@@H](C(=O)N[C@@H](Cc1ccccc1)C[C@@H]([C@H](Cc2ccccc2)NC(=O)[C@@H]3CN(C(=O)O3)c4ccccc4)O)N5CCCNC5=O,105
CC(C)[C@@H](C(=O)N[C@@H](Cc1ccccc1)C[C@@H]([C@H](Cc2ccccc2)NC(=O)[C@@H]3CN(C(=O)O3)c4cccc(c4)C(=O)C)O)NC(=O)C,106
CC(C)C[N@@](C[C@H]([C@H](Cc1ccccc1)NC(=O)[C@@H]2CN(C(=O)O2)c3ccc(cc3)C(=O)C)O)S(=O)(=O)c4ccc(cc4)OC,107
CC(C)C[N@@](C[C@H]([C@H](Cc1ccccc1)NC(=O)[C@@H]2CN(C(=O)O2)c3cccc(c3)C(=O)C)O)S(=O)(=O)c4ccc(cc4)OC,108
CNC(=O)CCC(=O)N[C@@H](Cc1ccccc1)[C@@H](C[N@](CC2CC2)S(=O)(=O)c3cccc(c3)OC)O,109
CNC(=O)CCC(=O)N[C@@H](Cc1ccccc1)[C@@H](C[N@](CC2CC2)S(=O)(=O)c3ccco3)O,110
Cc1c(cnc2c1c(nc(n2)N)N)Cc3cc(ccc3OC)OC,111
CCc1c(c(nc(n1)N)N)C#CCc2cc(ccc2OC)OC,112
c1cc(c[n+](c1)[C@H]2[C@@H]([C@@H]([C@H](O2)CO[P@@](=O)([O-])O[P@@](=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)n4cnc5c4ncnc5N)O)O)O)O)C,113
CC(=O)N[C@@H]1[C@H]([C@H]([C@H](O[C@H]1O)CO)O)O,114
CC[C@@H]1[C@@H](C=CC(=O)[C@@H](C[C@@H]([C@@H]([C@@H](C(=O)[C@H](C(=O)O1)C)C)O[C@@H]2[C@@H]([C@@H](C[C@@H](O2)C)N(C)C)O)C)C)C,115
c1ccc(c(c1)CC(=O)O)O,116
CCCCCCCCC=C/CCCCCCCC(=O)O,117
C1=C(NC(=O)NC1=O)C(=O)O,118
C(=O)(C(=O)[O-])[O-],119
c1ccc(cc1)CC(=O)O,120
C[N+](C)(C)CCOP(=O)(O)O,121
C(c1c(c(c(c(c1F)F)F)F)F)O,122
C(C(=O)O)OP(=O)(O)O,123
C(C(=O)NO)OP(=O)(O)O,124
c1cc(ccc1C(=O)O)O,125
C(C(=O)C(=O)O)P(=O)(O)O,126
C([C@@H]1[C@H]([C@H]([C@H](O1)O[P@@](=O)(O)OP(=O)(O)O)O)O)OP(=O)(O)O,127
CC(C)Cc1c(nccn1)OC,128
CC[C@@H]1[C@@H](C=CC(=O)[C@H](C[C@@H]([C@@H]([C@H](C(=O)O1)C)O[C@@H]2[C@H]([C@@H](C[C@@H](O2)C)N(C)C)O)C)C)C,129
CC(=O)C(=O)O,130
C([C@@H](C(=O)O)N)N1C(=O)NC(=O)O1,131
Cc1cc2c(cc1C)N(C3=NC(=O)NC(=O)C3=N2)C[C@@H]([C@@H]([C@@H](CO)O)O)O,132
c1cc(cc(c1)O)O,133
CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC(=O)O)C)C,134
CC(C)c1nc(cs1)CN(C)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](Cc2ccccc2)C[C@@H]([C@H](Cc3ccccc3)NC(=O)OCc4cncs4)O,135
CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2C[N@]1C[C@H]([C@H](Cc3ccccc3)NC(=O)[C@H](CC(=O)N)NC(=O)c4ccc5ccccc5n4)O,136
C[C@H]1C=C[C@H]([C@H](CCCC[C@H](OC(=O)[C@H]([C@@]2([C@@H]([C@H]([C@@H]([C@H]1O2)C)O)OC)O)C)c3ccccc3)OC)OC,137
[B-](CCSC[C@@H](C(=O)O)N)(O)(O)O,138
C1[C@H]([C@@H]([C@@H](C=C1C(=O)O)OP(=O)(O)O)O)O,139
c1nc(c2c(n1)n(cn2)[C@H]3[C@@H]([C@@H]([C@H](O3)CSCC[C@@H](C(=O)O)N)O)O)N,140
c1cc2c(cc1F)[C@@]3(CCO2)C(=O)NC(=O)N3,141
c1cc(c(c2c1CCNC2)Cl)Cl,142
c1cc2c(cc1S(=O)(=O)N)CNCC2,143
C(C(=O)C(=O)O)S(=O)(=O)O,144
c1cc2c(cc1O)c(c[nH]2)CCN,145
c1c(cc(c(c1I)Oc2cc(c(c(c2)I)O)I)I)C[C@@H](C(=O)O)N,146
c1cc(c(cc1Cl)O)Oc2ccc(cc2Cl)Cl,147
Cc1c(sc[n+]1Cc2cnc(nc2N)C)CCO[P@@](=O)(O)O[P@](=O)(O)[O-],148
CC1=CN(C(=O)NC1=O)[C@H]2C[C@@H]([C@]3([C@@H]2C3)CO)O,149
CC1=CC[C@@H]2C[C@H]1C2(C)C,150
c1cc(ccc1NS(=O)(=O)c2ccc3c(c2)CNCC3)Cl,151
CN(CC(=O)O)C(=S)c1cccc2c1ccc(c2C(F)(F)F)OC,152
COc1cc(cc(c1OC)OC)Cc2cnc(nc2N)N,153
c1ccc2c(c1)c(c[nH]2)CCN,154
CC1=CN(C(=O)NC1=O)[C@H]2C[C@@H]([C@H](O2)CO[P@](=O)(O)O[P@@](=O)(O)OP(=O)(O)O)O,155
CC(C)[C@H](C[C@@H]([C@H](CC1CCCCC1)NC(=O)C)O)C(=O)N[C@@H](CCC(=O)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N,156
C1=CN(C(=O)NC1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)CO)OP(=O)(O)O)O,157
C1=CN(C(=O)NC1=O)[C@H]2[C@H]([C@@H](C(O2)CO)OP(=O)(O)O)O,158
C1[C@@H]([C@H](O[C@H]1N2C=CC(=O)NC2=O)CO)OP(=O)(O)O,159
C1=CN(C(=O)NC1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)CO)OP(=O)(O)O)F,160
C1[C@@H]([C@H](O[C@H]1N2C=CC(=O)NC2=O)COP(=O)(O)O)O,161
C[C@@H](c1c(cncn1)F)[C@](Cn2cncn2)(c3ccc(cc3F)F)O,162
CC1(N=C(N=C(N1OCCCOc2cc(c(cc2Cl)Cl)Cl)N)N)C,163
COc1cc(c2c(c1OC)O[C@@H](C=C2)C3CC3)Cc4cnc(nc4N)N,164
c1ccc(cc1)C[C@@H]2[C@@H]([C@H]([C@H](N(C(=O)N2Cc3cccc(c3)C(=O)Nc4nccs4)Cc5cccc(c5)C(=O)Nc6nccs6)Cc7ccccc7)O)O,165
CC(=CCN([C@H]1CNC[C@@H]1N(CC=C(C)C)S(=O)(=O)c2ccc(cc2)C(=O)N)S(=O)(=O)c3ccc(cc3)C(=O)N)C,166
CC(=O)N[C@@H]1[C@H](C=C(O[C@H]1[C@@H]([C@@H](CO)O)O)C(=O)O)N=C(N)N,167
c1ccc2c(c1)C(=NN(C2=O)Cc3nc4cc(ccc4s3)C(F)(F)F)CC(=O)O,168
c1[nH]c2c(n1)c(ncn2)N,169
C[C@H]1[C@H](NC(=O)N1)CCCCCC(=O)O,170
C1C[C@H](NC1)C(=O)O,171
C1[C@H](CN[C@@H]1C(=O)O)O,172
