smile,pubchem_id
CC(C)C[N@@](C[C@H]([C@H](Cc1ccccc1)NC(=O)O[C@H]2CO[C@@H]3[C@H]2CCO3)O)S(=O)(=O)c4ccc(cc4)N, 017 
CC(C)C[N@@](C[C@H]([C@H](Cc1ccccc1)NC(=O)O[C@H]2CO[C@@H]3[C@H]2CCO3)O)S(=O)(=O)c4ccc5c(c4)OCO5, 065 
CCCC[C@@H](C(=O)N)NC(=O)[C@H](C)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](Cc1ccccc1)NC[C@H](CC(C)C)NC(=O)[C@H](C(C)C)NC(=O)[C@H](CCCNC(=[, 0Q4 
CC(C)(C)OC(=O)N[C@H](CCN[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](Cc2ccccc2)C(=O)N)Cc3ccccc3, 0ZQ 
CCCCCCCCCCCCCCCC(=O)NCC(=O)O, 140 
c1ccc(cc1)C[C@@H]2[C@@H]([C@H]([C@H](N(C(=O)N2Cc3cccc(c3)C(=O)Nc4[nH]c5ccccc5n4)Cc6cccc(c6)C(=O)Nc7[nH]c8ccccc8n7)Cc9ccccc9)O)O, 146 
CC1(N=C(N=C(N1c2ccc(cc2)Cl)N)N)C, 1CY 
Cc1c(cccc1O)C(=O)N[C@@H](CSc2ccccc2)[C@@H](C[N@@]3C[C@H]4CCCC[C@H]4C[C@H]3C(=O)NC(C)(C)C)O, 1UN 
c1cc(c(c(c1)Cl)CC(=O)O)Cl, 2CL 
CCCC[C@@H](CN[C@@H](CCCC)C(=O)N[C@@H](CCC(=O)N)C(=O)N[C@@H](CCCNC(=[NH2+])N)C(=O)N)NC(=O)[C@H]([C@@H](C)CC)NC(=O)[C@H]([C@@H](C), 2NC 
c1cc(c(cc1Cl)OCC(=O)O)C(=O)NCc2ccc(cc2F)Br, 388 
c1cc(cc(c1)[N+](=O)[O-])CNC(=O)c2ccc(cc2OCC(=O)O)Cl, 393 
C([C@H](C(=O)O)O)OP(=O)(O)O, 3PG 
CC(C)C[N@](C[C@H]([C@H](Cc1ccccc1)NC(=O)O[C@H]2CCOC2)O)S(=O)(=O)c3ccc(cc3)N, 478 
c1cc2c(cc1Cl)nc(s2)CN3C(=O)C=CN(C3=O)CC(=O)O, 47D 
CC(C)(CO[P@](=O)(O)O[P@@](=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)n2cnc3c2ncnc3N)O)OP(=O)(O)O)[C@H](C(=O)NCCC(=O)NCCSCc4ccc(cc4)O)O, 4CA 
CC(C)(CO[P@](=O)(O)O[P@@](=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)n2cnc3c2ncnc3N)O)OP(=O)(O)O)[C@H](C(=O)NCCC(=O)NCCSCC(=O)c4ccc(cc, 4CO 
CC1=N[C@@H](CCN1)C(=O)O, 4CS 
c1nc2c(n1[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)O)O)O)N=C(NC2=O)N, 5GP 
c1ccc(cc1)c2cc(c(c(c2)Cl)O)C(=O)O, 5P3 
CC1=N[C@@H]([C@H](CN1)O)C(=O)O, 6CS 
CNC(=O)c1c2cc(c(cc2oc1c3ccc(cc3)F)N(CCO)S(=O)(=O)C)C4CC4, 79Z 
c1cc2cccc3c2c(c1)C(=O)OC3(c4ccc(c(c4)Cl)O)c5ccc(c(c5)Cl)O, A15 
c1nc(c2c(n1)n(cn2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)O)OP(=O)(O)O)O)N, A3P 
Cc1cccc(c1OCC(=O)N[C@@H](Cc2ccccc2)[C@H](C[C@H](Cc3ccccc3)NC(=O)[C@H](C(C)C)N4CCCNC4=O)O)C, AB1 
[B-](CCCC[C@@H](C(=O)O)N)(O)(O)O, ABH 
Ligand broken in structure, ACE 
CC(=O)OCC[N+](C)(C)C, ACH 
CC(=O)SCCNC(=O)CCNC(=O)[C@@H](C(C)(C)CO[P@](=O)(O)O[P@@](=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)n2cnc3c2ncnc3N)O)OP(=O)(O)O)O, ACO 
c1nc(c2c(n1)n(cn2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO[P@](=O)(O)OP(=O)(O)O)O)O)N, ADP 
c1nc(c2c(n1)n(cn2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OP(=O)(O)OP(=S)(O)O)O)O)N, AGS 
CC(C)[C@@H](C(=O)N[C@@H](Cc1ccccc1)[C@@H]([C@H]([C@H](CC2CCCCC2)NC(=O)[C@H](C(C)C)NC(=O)N(C)Cc3ccccn3)O)O)NC(=O)N(C)Cc4ccccn4, AI 
c1cc2cccc3c2c(c1)C(=O)N(C3=O)CC(=O)O, ALR 
CN(C)C1=N[C@@H]2[C@H]([C@@H]([C@H]([C@@H]2O1)CO)O)O, AMI 
c1nc(c2c(n1)n(cn2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)O)O)O)N, AMP 
Cc1c(c(no1)O)C[C@@H](C(=O)O)N, AMQ 
c1nc2c(n1[C@H]3[C@@H]([C@@H]([C@H](O3)CO[P@](=O)(O)O[P@](=O)(O)OC[C@@H]4[C@H]([C@H]([C@@H](O4)O)O)O)O)OP(=O)(O)O)[NH2+]CNC2N, APX 
C(C[C@@H](C(=O)O)N)CNC(=[NH2+])N, ARG 
CC(=O)SCC[N+](C)(C)C, AT3 
c1nc(c2c(n1)n(cn2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO[P@@](=O)(O)O[P@](=O)(O)OP(=O)(O)O)O)O)N, ATP 
CCN(CC)CCNC(=O)c1c(c([nH]c1C)/C=C2/c3cc(ccc3NC2=O)F)C, B49 
C[C@H]1C[C@@H]([C@@H]([C@H](C=C([C@@H]([C@H](C=CC=C(C(=O)NC2=CC(=O)C=C([C@@H]1OC)C2=O)C)C)OC(=O)N)/C)C)OC)OC, BC2 
CCCC(=O)SCC[N+](C)(C)C, BCH 
CCCCCCCCO[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O, BOG 
C1[C@H]2[C@@H]([C@@H](S1)CCCCC(=O)O)NC(=O)N2, BTN 
c1nc2c(n1[C@H]3[C@@H]([C@H]4[C@H](O3)CO[P@@](=O)(O[C@@H]5[C@@H](CO[P@@](=O)(O4)O)O[C@H]([C@@H]5O)n6cnc7c6N=C(NC7=O)N)O)O)N=C(NC2, C2E 
C[N@@]1[C@H](CNC2=C1C(=O)NC(=N2)N)CNc3ccc(cc3)C(=O)N[C@@H](CCC(=O)O)C(=O)O, C2F 
c1c(cc(c(c1C(=O)O)O)Cl)Cl, C2U 
CC(=O)CCC[N+](C)(C)C, CHH 
C[N+](C)(C)CCO, CHT 
c1ccc(cc1)C(c2ccccc2)(c3ccccc3Cl)n4ccnc4, CL6 
CC(C)(CO[P@](=O)(O)O[P@@](=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)n2cnc3c2ncnc3N)O)OP(=O)(O)O)[C@H](C(=O)NCCC(=O)NCCS)O, COA 
C[N@]1[C@H]2CC[C@@H]1[C@H]([C@H](C2)OC(=O)c3ccccc3)C(=O)OC, COC 
CC(C)CC(=O)C(=O)O, COI 
CCc1c(c(nc(n1)N)N)c2ccc(cc2)Cl, CP6 
C1CC2=C(C1)N(C(=O)NC2=O)C[C@@H](C(=O)O)N, CPW 
CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@H]1O)CO)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)N, CTO 
C1[C@@H]([C@H](O[C@H]1N2C=CC(=NC2=O)N)COP(=O)(O)O)O, DCM 
C(CC(=O)N)[C@H](C(=O)O)N, DGN 
COc1ccc(cc1Cc2cnc(nc2N)N)OCCCCC(=O)O, DH1 
c1cc(c(cc1C(=O)O)O)O, DHB 
C[C@]12CCC(=O)C[C@@H]1CC[C@@H]3[C@@H]2CC[C@]4([C@H]3CC[C@@H]4O)C, DHT 
c1cc(c[n+](c1)[C@H]2[C@@H]([C@H](C(O2)CO[P@](=O)(O)O[P@@](=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)n4cnc5c4ncnc5N)O)O)O)O)C(=O)O, DND 
C(C[C@@H](C(=O)N[C@@H](CCN)C(=O)N)N)CNC(=N)N[N+](=O)[O-], DP1 
C1[C@H](CN[C@@H]1C(=O)N)NC(=O)[C@H](CCCNC(=N)N[N+](=O)[O-])N, DP9 
CC(C)(C)[C@@H](C(=O)N[C@@H](Cc1ccccc1)[C@H](CN(Cc2ccc(cc2)c3ccccn3)NC(=O)[C@H](C(C)(C)C)NC(=O)OC)O)NC(=O)OC, DR7 
C[C@]12CCc3c4ccc(cc4ccc3[C@@H]1CCC2=O)O, EQU 
C[C@]12CC[C@@H]3c4ccc(cc4CC[C@H]3[C@@H]1CC[C@@H]2O)O, EST 
c1cc2c(cc1S(=O)(=O)N3CCSCC3)CN[C@H](C2)CF, F21 
C([C@@H]1[C@H]([C@@H]([C@](O1)(CO)O)O)O)OP(=O)(O)O, F6P 
c1cc(ccc1NS(=O)(=O)c2ccc3c(c2)CN[C@H](C3)CO)Cl, F83 
c1cc2c(cc1F)[C@@]3(C[C@H](O2)C(=O)N)C(=O)NC(=O)N3, FID 
Cc1cc2c(cc1C)N(C3=NC(=O)NC(=O)C3=N2)C[C@@H]([C@@H]([C@@H](COP(=O)(O)O)O)O)O, FMN 
c1cc2c(cc1S(=O)(=O)NCCC(F)(F)F)CN[C@H](C2)CF, FTS 
CCC(CC)O[C@@H]1C=C(C[C@@H]([C@H]1NC(=O)C)N)C(=O)O, G39 
c1ccc(cc1)CN([C@H]2CNC[C@@H]2N(Cc3ccccc3)S(=O)(=O)c4ccc(cc4)N)S(=O)(=O)c5ccc(cc5)N, G3G 
c1ccc(cc1)CN([C@H]2CNC[C@@H]2N(Cc3ccccc3)S(=O)(=O)c4ccc(cc4)C(=O)N)S(=O)(=O)c5ccc(cc5)C(=O)N, G4G 
C([C@@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)O)O)O)O)O, GAL 
c1nc2c(n1[C@H]3[C@@H]([C@@H]([C@H](O3)CO[P@](=O)(O)O[P@](=O)(O)O[C@@H]4[C@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O)O)N=C(NC2=O)N, GDD 
C[C@H]1C[C@@H]([C@@H]([C@H](C=C([C@@H]([C@H](C=C/C=C(/C(=O)NC2=CC(=O)C(=C(C1)C2=O)OC)C)OC)OC(=O)N)/C)C)O)OC, GDM 
c1nc2c(n1[C@H]3[C@@H]([C@@H]([C@H](O3)CO[P@](=O)(O)OP(=O)(O)O)O)O)N=C(NC2=O)N, GDP 
c1ccc(cc1)[C@@H]2C[C@H]2N, GJZ 
C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O)O)O)O)O, GLC 
C[N@@]1CC[C@@]23C=C[C@@H](C[C@@H]2Oc4c3c(ccc4OC)C1)O, GNT 
C(C(=O)O)[NH2+]CP(=O)(O)O, GPJ 
C(CC(=O)N[C@@H](CS)C(=O)NCC(=O)O)[C@@H](C(=O)O)N, GSH 
CCCCCCSC[C@@H](C(=O)NCC(=O)O)NC(=O)CC[C@@H](C(=O)O)[NH3+], GTX 
c1cc2c(cc1[N+](=O)[O-])CN[C@H](C2)CO, HNT 
[C@H]1([C@@H]([C@H]([C@@H]([C@H]([C@@H]1OP(=O)(O)O)O)OP(=O)(O)O)OP(=O)(O)O)O)O, I3P 
c1cc2c(cc1I)CNCC2, IDI 
C1(C(C(C(C(C1OP(=O)(O)O)OP(=O)(O)O)OP(=O)(O)O)OP(=O)(O)O)OP(=O)(O)O)OP(=O)(O)O, IHP 
COc1cc2c(cc1OCCCN3CCOCC3)/C(=N/c4ccc(c(c4)Cl)F)/N=CN2, IRE 
c1ccc(cc1)C[C@@H](C(=O)O)NC(=O)CCC([C@H](Cc2ccccc2)NC(=O)c3ccccc3)(O)O, KAF 
CC(=C)[C@H]1CN[C@@H]([C@H]1CC(=O)O)C(=O)O, KAI 
c1ccc(cc1)C[C@@H](C(CCC(=O)N[C@@H](Cc2c[nH]c3c2cccc3)C(=O)O)(O)O)NC(=O)c4ccccc4, KAW 
c1ccc(cc1)C[C@@H]([C@H](C(=O)O)O)NC(=O)OCc2ccccc2, KI2 
c1cc(c(cc1F)OCC(=O)O)C(=S)NCc2ccc(cc2F)Br, LDT 
Cc1cc2c(cc1C)N(C3=NC(=O)NC(=O)C3=N2)C, LFN 
c1ccc2c(c1)cccc2CC(=O)OCCN, LLG 
Cc1cc2c(cc1C)nc3c(n2)C(=O)NC(=O)N3, LUM 
c1cc(c(c2c1CCCNC2)Cl)Cl, LY1 
C(CC[NH3+])C[C@@H](C(=O)O)N, LYS 
C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@@H]2[C@H](O[C@@H]([C@@H]([C@H]2O)O)O)CO)O)O)O)O, MAL 
C([C@@H]1[C@H]([C@@H]([C@@H]([C@H](O1)O)O)O)O)O, MAN 
C[C@H]1[C@H]([C@H]([C@@H]([C@@H](O1)OC)O)O)O, MFU 
CN1CN(C2=C1C(=O)NC(=N2)N)[C@H]3[C@@H]([C@@H]([C@H](O3)CO[P@](=O)(O)O[P@](=O)(O)OP(=O)(O)O)O)O, MGT 
Cc1nccn1CCCCc2ccc(cc2)CC(=O)N[C@@H](CO)C(=O)N[C@@H](CCCCN)C(=O)NCCC3CCCCC3, MIM 
CC(C)(C)NC(=O)[C@@H]1C[N@@](CC[N@]1C[C@H](C[C@@H](Cc2ccccc2)C(=O)N[C@H]3c4ccccc4C[C@H]3O)O)Cc5cccnc5, MK1 
CO[C@@H]1[C@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O, MMA 
c1cc2c(ccc3c2c(c1)C(=O)OC3(c4ccc(cc4)O)c5ccc(cc5)O)[N+](=O)[O-], MR2 
CN(Cc1cnc2c(n1)c(nc(n2)N)N)c3ccc(cc3)C(=O)N[C@@H](CCC(=O)O)C(=O)O, MTX 
CC(C)[C@@H](C(=O)N[C@@H](Cc1ccccc1)C[C@@H]([C@H](Cc2ccccc2)NC(=O)[C@@H]3CN(C(=O)O3)c4ccccc4)O)N5CCCNC5=O, MU0 
CC(C)[C@@H](C(=O)N[C@@H](Cc1ccccc1)C[C@@H]([C@H](Cc2ccccc2)NC(=O)[C@@H]3CN(C(=O)O3)c4cccc(c4)C(=O)C)O)NC(=O)C, MU1 
CC(C)C[N@@](C[C@H]([C@H](Cc1ccccc1)NC(=O)[C@@H]2CN(C(=O)O2)c3ccc(cc3)C(=O)C)O)S(=O)(=O)c4ccc(cc4)OC, MUI 
CC(C)C[N@@](C[C@H]([C@H](Cc1ccccc1)NC(=O)[C@@H]2CN(C(=O)O2)c3cccc(c3)C(=O)C)O)S(=O)(=O)c4ccc(cc4)OC, MUT 
CNC(=O)CCC(=O)N[C@@H](Cc1ccccc1)[C@@H](C[N@](CC2CC2)S(=O)(=O)c3cccc(c3)OC)O, MUU 
CNC(=O)CCC(=O)N[C@@H](Cc1ccccc1)[C@@H](C[N@](CC2CC2)S(=O)(=O)c3ccco3)O, MUV 
Cc1c(cnc2c1c(nc(n2)N)N)Cc3cc(ccc3OC)OC, MXA 
CCc1c(c(nc(n1)N)N)C#CCc2cc(ccc2OC)OC, N22 
c1cc(c[n+](c1)[C@H]2[C@@H]([C@@H]([C@H](O2)CO[P@@](=O)([O-])O[P@@](=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)n4cnc5c4ncnc5N)O)O)O)O)C, NAD 
c1nc(c2c(n1)n(cn2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO[P@](=O)(O)O[P@@](=O)(O)OC[C@@H]4[C@H]([C@H]([C@@H](O4)N5C=CCC(=C5)C(=O)N)O)O)O, NAI 
c1cc(c[n+](c1)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)([O-])OP(=O)([O-])OC[C@@H]3[C@H]([C@H]([C@@H](O3)n4cnc5c4nc[nH+]c5N)O)O)O)O)C(, NAJ 
c1cc(c[n+](c1)[C@H]2[C@@H]([C@@H]([C@H](O2)CO[P@@](=O)([O-])O[P@](=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)n4cnc5c4ncnc5N)OP(=O)(O)O, NAP 
CC(=O)N[C@@H]1[C@H]([C@H]([C@H](O[C@H]1O)CO)O)O, NGA 
CC[C@@H]1[C@@H](C=CC(=O)[C@@H](C[C@@H]([C@@H]([C@@H](C(=O)[C@H](C(=O)O1)C)C)O[C@@H]2[C@@H]([C@@H](C[C@@H](O2)C)N(C)C)O)C)C)C, NRB 
c1ccc(c(c1)CC(=O)O)O, OHP 
CCCCCCCCC=C/CCCCCCCC(=O)O, OLA 
C1=C(NC(=O)NC1=O)C(=O)O, ORO 
C(=O)(C(=O)[O-])[O-], OXL 
c1ccc(cc1)CC(=O)O, PAC 
C[N+](C)(C)CCOP(=O)(O)O, PC 
C(c1c(c(c(c(c1F)F)F)F)F)O, PFB 
C(C(=O)O)OP(=O)(O)O, PGA 
C(C(=O)NO)OP(=O)(O)O, PGH 
c1cc(ccc1C(=O)O)O, PHB 
C(C(=O)C(=O)O)P(=O)(O)O, PPR 
C([C@@H]1[C@H]([C@H]([C@H](O1)O[P@@](=O)(O)OP(=O)(O)O)O)O)OP(=O)(O)O, PRP 
CC(C)Cc1c(nccn1)OC, PRZ 
CC[C@@H]1[C@@H](C=CC(=O)[C@H](C[C@@H]([C@@H]([C@H](C(=O)O1)C)O[C@@H]2[C@H]([C@@H](C[C@@H](O2)C)N(C)C)O)C)C)C, PXI 
CC(=O)C(=O)O, PYR 
C([C@@H](C(=O)O)N)N1C(=O)NC(=O)O1, QUS 
Cc1cc2c(cc1C)N(C3=NC(=O)NC(=O)C3=N2)C[C@@H]([C@@H]([C@@H](CO)O)O)O, RBF 
c1cc(cc(c1)O)O, RCO 
CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC(=O)O)C)C, REA 
CC(C)c1nc(cs1)CN(C)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](Cc2ccccc2)C[C@@H]([C@H](Cc3ccccc3)NC(=O)OCc4cncs4)O, RIT 
CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2C[N@]1C[C@H]([C@H](Cc3ccccc3)NC(=O)[C@H](CC(=O)N)NC(=O)c4ccc5ccccc5n4)O, ROC 
C[C@H]1C=C[C@H]([C@H](CCCC[C@H](OC(=O)[C@H]([C@@]2([C@@H]([C@H]([C@@H]([C@H]1O2)C)O)OC)O)C)c3ccccc3)OC)OC, S1A 
[B-](CCSC[C@@H](C(=O)O)N)(O)(O)O, S2C 
C1[C@H]([C@@H]([C@@H](C=C1C(=O)O)OP(=O)(O)O)O)O, S3P 
c1nc(c2c(n1)n(cn2)[C@H]3[C@@H]([C@@H]([C@H](O3)CSCC[C@@H](C(=O)O)N)O)O)N, SAH 
c1cc2c(cc1F)[C@@]3(CCO2)C(=O)NC(=O)N3, SBI 
c1cc(c(c2c1CCNC2)Cl)Cl, SKA 
c1cc2c(cc1S(=O)(=O)N)CNCC2, SKF 
C(C(=O)C(=O)O)S(=O)(=O)O, SPV 
c1cc2c(cc1O)c(c[nH]2)CCN, SRO 
c1c(cc(c(c1I)Oc2cc(c(c(c2)I)O)I)I)C[C@@H](C(=O)O)N, T44 
c1cc(c(cc1Cl)O)Oc2ccc(cc2Cl)Cl, TCL 
Cc1c(sc[n+]1Cc2cnc(nc2N)C)CCO[P@@](=O)(O)O[P@](=O)(O)[O-], TDP 
CC1=CN(C(=O)NC1=O)[C@H]2C[C@@H]([C@]3([C@@H]2C3)CO)O, TMC 
CC1=CC[C@@H]2C[C@H]1C2(C)C, TMH 
c1cc(ccc1NS(=O)(=O)c2ccc3c(c2)CNCC3)Cl, TMJ 
CN(CC(=O)O)C(=S)c1cccc2c1ccc(c2C(F)(F)F)OC, TOL 
COc1cc(cc(c1OC)OC)Cc2cnc(nc2N)N, TOP 
c1ccc2c(c1)c(c[nH]2)CCN, TSS 
CC1=CN(C(=O)NC1=O)[C@H]2C[C@@H]([C@H](O2)CO[P@](=O)(O)O[P@@](=O)(O)OP(=O)(O)O)O, TTP 
CC(C)[C@H](C[C@@H]([C@H](CC1CCCCC1)NC(=O)C)O)C(=O)N[C@@H](CCC(=O)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N, U0E 
C1=CN(C(=O)NC1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)CO)OP(=O)(O)O)O, U3P 
C1=CN(C(=O)NC1=O)[C@H]2[C@H]([C@@H](C(O2)CO)OP(=O)(O)O)O, UA3 
C1[C@@H]([C@H](O[C@H]1N2C=CC(=O)NC2=O)CO)OP(=O)(O)O, UM3 
C1=CN(C(=O)NC1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)CO)OP(=O)(O)O)F, UMF 
C1[C@@H]([C@H](O[C@H]1N2C=CC(=O)NC2=O)COP(=O)(O)O)O, UMP 
C[C@@H](c1c(cncn1)F)[C@](Cn2cncn2)(c3ccc(cc3F)F)O, VOR 
CC1(N=C(N=C(N1OCCCOc2cc(c(cc2Cl)Cl)Cl)N)N)C, WRA 
COc1cc(c2c(c1OC)O[C@@H](C=C2)C3CC3)Cc4cnc(nc4N)N, XCF 
c1ccc(cc1)C[C@@H]2[C@@H]([C@H]([C@H](N(C(=O)N2Cc3cccc(c3)C(=O)Nc4nccs4)Cc5cccc(c5)C(=O)Nc6nccs6)Cc7ccccc7)O)O, XV6 
CC(=CCN([C@H]1CNC[C@@H]1N(CC=C(C)C)S(=O)(=O)c2ccc(cc2)C(=O)N)S(=O)(=O)c3ccc(cc3)C(=O)N)C, YDP 
CC(=O)N[C@@H]1[C@H](C=C(O[C@H]1[C@@H]([C@@H](CO)O)O)C(=O)O)N=C(N)N, ZMR 
c1ccc2c(c1)C(=NN(C2=O)Cc3nc4cc(ccc4s3)C(F)(F)F)CC(=O)O, ZST 
c1[nH]c2c(n1)c(ncn2)N,ADE
C[C@H]1[C@H](NC(=O)N1)CCCCCC(=O)O,DTB
C1C[C@H](NC1)C(=O)O, PRO
C1[C@H](CN[C@@H]1C(=O)O)O,HYP
